;Chain;Brand;Week;UnitSales;PricePU;PricePL;BasePricePU;BasePricePL;FeatOnly;DispOnly;FeatDisp;Average weekly COVID cases;Weekly holiday dummy;Average weekly temperature
1;Albert Heijn;PrivateLabel;1;266583;1.34;1.81;2.49;3.63;100;0;97;0;1;42.1428571428571
2;Albert Heijn;PrivateLabel;2;46122;2.35;3.51;2.49;3.61;0;31;0;0;0;66.8571428571429
3;Albert Heijn;PrivateLabel;3;46691;2.48;3.61;2.49;3.61;0;0;0;0;0;26.5714285714286
4;Albert Heijn;PrivateLabel;4;51753;2.49;3.6;2.51;3.59;0;0;0;0;0;33.2857142857143
5;Albert Heijn;PrivateLabel;5;36881;2.47;3.69;2.49;3.62;0;0;0;0;0;81.4285714285714
6;Albert Heijn;PrivateLabel;6;45623;2.49;3.6;2.48;3.65;0;0;0;0;0;25.4285714285714
7;Albert Heijn;PrivateLabel;7;50369;2.49;3.62;2.5;3.6;0;0;0;0;0;87.5714285714286
8;Albert Heijn;PrivateLabel;8;52684;2.46;3.59;2.5;3.61;0;0;0;0;0;100.142857142857
9;Albert Heijn;PrivateLabel;9;50113;2.46;3.57;2.5;3.61;0;0;0;0;0;96.1428571428571
10;Albert Heijn;PrivateLabel;10;62011;2.2;3.73;2.49;3.65;0;0;0;0;0;110.142857142857
11;Albert Heijn;PrivateLabel;11;57081;2.42;3.53;2.48;3.62;0;0;0;0;0;138.714285714286
12;Albert Heijn;PrivateLabel;12;54857;2.43;3.52;2.46;3.58;0;0;0;0;0;127
13;Albert Heijn;PrivateLabel;13;60509;2.41;3.5;2.47;3.56;0;0;0;0;0;175
14;Albert Heijn;PrivateLabel;14;60103;2.42;3.52;2.46;3.56;0;0;0;0;0;145.142857142857
15;Albert Heijn;PrivateLabel;15;59660;2.42;3.52;2.45;3.54;0;0;0;0;1;143.714285714286
16;Albert Heijn;PrivateLabel;16;51722;2.42;3.59;2.44;3.51;0;0;0;0;1;114.571428571429
17;Albert Heijn;PrivateLabel;17;52480;2.41;3.56;2.44;3.55;0;0;0;0;1;116.142857142857
18;Albert Heijn;PrivateLabel;18;36126;2.41;3.69;2.43;3.59;0;0;0;0;1;151
19;Albert Heijn;PrivateLabel;19;50701;2.45;3.61;2.44;3.59;0;0;0;0;0;177.428571428571
20;Albert Heijn;PrivateLabel;20;60824;2.42;3.58;2.45;3.58;0;0;0;0;0;215.428571428571
