Chain;Brand;Week;UnitSales;PricePU;PricePL;BasePricePU;BasePricePL;FeatOnly;DispOnly;FeatDisp
Albert Heijn;PrivateLabel;wk 01 17;266583;1.34;1.81;2.49;3.63;100;0;97
Albert Heijn;PrivateLabel;wk 02 17;46122;2.35;3.51;2.49;3.61;0;31;0
Albert Heijn;PrivateLabel;wk 03 17;46691;2.48;3.61;2.49;3.61;0;0;0
Albert Heijn;PrivateLabel;wk 04 17;51753;2.49;3.6;2.51;3.59;0;0;0
Albert Heijn;PrivateLabel;wk 05 17;36881;2.47;3.69;2.49;3.62;0;0;0
Albert Heijn;PrivateLabel;wk 06 17;45623;2.49;3.6;2.48;3.65;0;0;0
Albert Heijn;PrivateLabel;wk 07 17;50369;2.49;3.62;2.5;3.6;0;0;0
Albert Heijn;PrivateLabel;wk 08 17;52684;2.46;3.59;2.5;3.61;0;0;0
Albert Heijn;PrivateLabel;wk 09 17;50113;2.46;3.57;2.5;3.61;0;0;0
Albert Heijn;PrivateLabel;wk 10 17;62011;2.2;3.73;2.49;3.65;0;0;0
Albert Heijn;PrivateLabel;wk 11 17;57081;2.42;3.53;2.48;3.62;0;0;0
Albert Heijn;PrivateLabel;wk 12 17;54857;2.43;3.52;2.46;3.58;0;0;0
Albert Heijn;PrivateLabel;wk 13 17;60509;2.41;3.5;2.47;3.56;0;0;0
Albert Heijn;PrivateLabel;wk 14 17;60103;2.42;3.52;2.46;3.56;0;0;0
Albert Heijn;PrivateLabel;wk 15 17;59660;2.42;3.52;2.45;3.54;0;0;0
Albert Heijn;PrivateLabel;wk 16 17;51722;2.42;3.59;2.44;3.51;0;0;0
Albert Heijn;PrivateLabel;wk 17 17;52480;2.41;3.56;2.44;3.55;0;0;0
Albert Heijn;PrivateLabel;wk 18 17;36126;2.41;3.69;2.43;3.59;0;0;0
Albert Heijn;PrivateLabel;wk 19 17;50701;2.45;3.61;2.44;3.59;0;0;0
Albert Heijn;PrivateLabel;wk 20 17;60824;2.42;3.58;2.45;3.58;0;0;0
Albert Heijn;PrivateLabel;wk 21 17;67125;2.45;3.7;2.45;3.64;0;0;0
Albert Heijn;PrivateLabel;wk 22 17;70980;2.44;3.67;2.45;3.64;0;0;0
Albert Heijn;PrivateLabel;wk 23 17;63536;2.45;3.65;2.46;3.7;0;0;0
Albert Heijn;PrivateLabel;wk 24 17;47231;2.43;3.75;2.47;3.71;0;0;0
Albert Heijn;PrivateLabel;wk 25 17;72440;2.36;3.53;2.47;3.66;0;5;0
Albert Heijn;PrivateLabel;wk 26 17;55291;2.45;3.67;2.46;3.69;0;0;0
Albert Heijn;PrivateLabel;wk 27 17;63782;2.44;3.72;2.46;3.71;0;0;0
Albert Heijn;PrivateLabel;wk 28 17;57123;2.42;3.83;2.45;3.78;0;1;0
Albert Heijn;PrivateLabel;wk 29 17;46859;2.39;4.02;2.45;3.8;0;2;0
Albert Heijn;PrivateLabel;wk 30 17;45661;2.41;3.91;2.44;3.85;0;0;0
Albert Heijn;PrivateLabel;wk 31 17;45116;2.41;3.88;2.42;3.85;0;0;0
Albert Heijn;PrivateLabel;wk 32 17;72277;2.35;3.99;2.51;4.27;98;0;9
Albert Heijn;PrivateLabel;wk 33 17;60204;2.53;4.12;2.53;4.12;0;0;0
Albert Heijn;PrivateLabel;wk 34 17;75159;2.5;4.12;2.52;4.09;0;1;0
Albert Heijn;PrivateLabel;wk 35 17;93971;2.29;3.98;2.52;4.06;0;3;0
Albert Heijn;PrivateLabel;wk 36 17;59243;2.55;4.09;2.53;4.03;0;0;0
Albert Heijn;PrivateLabel;wk 37 17;71467;2.44;3.97;2.55;4.11;98;0;0
Albert Heijn;PrivateLabel;wk 38 17;65462;2.5;4.05;2.53;4.04;0;0;0
Albert Heijn;PrivateLabel;wk 39 17;63348;2.53;4.01;2.56;4.03;0;0;0
Albert Heijn;PrivateLabel;wk 40 17;62739;2.53;3.97;2.55;4.06;0;0;0
