;STN De Bilt 260;YYYYMMDD;TX;;;
1;260;20170101;19;42.14285714;Avg Week 1;42.14285714
;260;20170102;68;;Avg Week 2;66.85714286
;260;20170103;71;;Avg Week 3;26.57142857
;260;20170104;73;;Avg Week 4;33.28571429
;260;20170105;33;;Avg Week 5;81.42857143
;260;20170106;-3;;Avg Week 6;25.42857143
;260;20170107;34;;Avg Week 7;103.625
2;260;20170108;61;66.85714286;Avg Week 8;
;260;20170109;59;;Avg Week 9;
;260;20170110;66;;Avg Week 10;
;260;20170111;104;;Avg Week 11;
;260;20170112;74;;Avg Week 12;
;260;20170113;56;;Avg Week 13;
;260;20170114;48;;Avg Week 14;
3;260;20170115;48;26.57142857;Avg Week 15;
;260;20170116;12;;Avg Week 16;
;260;20170117;13;;Avg Week 17;
;260;20170118;-19;;Avg Week 18;
;260;20170119;31;;Avg Week 19;
;260;20170120;51;;Avg Week 20;
;260;20170121;50;;Avg Week 21;
4;260;20170122;37;33.28571429;Avg Week 22;
;260;20170123;31;;Avg Week 23;
;260;20170124;21;;Avg Week 24;
;260;20170125;6;;Avg Week 25;
;260;20170126;6;;Avg Week 26;
;260;20170127;51;;Avg Week 27;
;260;20170128;81;;Avg Week 28;
5;260;20170129;65;81.42857143;Avg Week 29;
;260;20170130;72;;Avg Week 30;
;260;20170131;61;;Avg Week 31;
;260;20170201;54;;Avg Week 32;
;260;20170202;125;;Avg Week 33;
;260;20170203;119;;Avg Week 34;
;260;20170204;74;;Avg Week 35;
2;260;20170205;77;25.42857143;Avg Week 36;
;260;20170206;66;;Avg Week 37;
;260;20170207;39;;Avg Week 38;
;260;20170208;9;;Avg Week 39;
;260;20170209;-10;;Avg Week 40;
;260;20170210;-13;;Avg Week 41;
;260;20170211;10;;Avg Week 42;
3;260;20170212;25;87.57142857;Avg Week 43;
;260;20170213;71;;Avg Week 44;
;260;20170214;94;;Avg Week 45;
;260;20170215;135;;Avg Week 46;
;260;20170216;99;;Avg Week 47;
;260;20170217;86;;Avg Week 48;
;260;20170218;103;;Avg Week 49;
4;260;20170219;92;100.1428571;Avg Week 50;
;260;20170220;109;;Avg Week 51;
;260;20170221;111;;Avg Week 52;
;260;20170222;108;;Avg Week 53;
;260;20170223;105;;Avg Week 54;
;260;20170224;87;;Avg Week 55;
;260;20170225;89;;Avg Week 56;
5;260;20170226;106;96.14285714;Avg Week 57;
;260;20170227;106;;Avg Week 58;
;260;20170228;65;;Avg Week 59;
;260;20170301;94;;Avg Week 60;
;260;20170302;82;;Avg Week 61;
;260;20170303;88;;Avg Week 62;
;260;20170304;132;;Avg Week 63;
;260;20170305;106;110.1428571;Avg Week 64;
;260;20170306;95;;Avg Week 65;
;260;20170307;94;;Avg Week 66;
;260;20170308;106;;Avg Week 67;
;260;20170309;128;;Avg Week 68;
;260;20170310;112;;Avg Week 69;
;260;20170311;130;;Avg Week 70;
;260;20170312;148;138.7142857;Avg Week 71;
;260;20170313;137;;Avg Week 72;
;260;20170314;149;;Avg Week 73;
;260;20170315;139;;Avg Week 74;
;260;20170316;168;;Avg Week 75;
;260;20170317;103;;Avg Week 76;
;260;20170318;127;;Avg Week 77;
;260;20170319;127;127;Avg Week 78;
;260;20170320;115;;Avg Week 79;
;260;20170321;98;;Avg Week 80;
;260;20170322;124;;Avg Week 81;
;260;20170323;140;;Avg Week 82;
;260;20170324;142;;Avg Week 83;
;260;20170325;143;;Avg Week 84;
;260;20170326;130;175;Avg Week 85;
;260;20170327;174;;Avg Week 86;
;260;20170328;197;;Avg Week 87;
;260;20170329;147;;Avg Week 88;
;260;20170330;218;;Avg Week 89;
;260;20170331;218;;Avg Week 90;
;260;20170401;141;;Avg Week 91;
;260;20170402;169;145.1428571;Avg Week 92;
;260;20170403;143;;Avg Week 93;
;260;20170404;165;;Avg Week 94;
;260;20170405;128;;Avg Week 95;
;260;20170406;118;;Avg Week 96;
;260;20170407;138;;Avg Week 97;
;260;20170408;155;;Avg Week 98;
;260;20170409;210;143.7142857;Avg Week 99;
;260;20170410;155;;Avg Week 100;
;260;20170411;138;;Avg Week 101;
;260;20170412;119;;Avg Week 102;
;260;20170413;133;;Avg Week 103;
;260;20170414;130;;Avg Week 104;
;260;20170415;121;;Avg Week 105;
;260;20170416;108;114.5714286;Avg Week 106;
;260;20170417;109;;Avg Week 107;
;260;20170418;111;;Avg Week 108;
;260;20170419;83;;Avg Week 109;
;260;20170420;129;;Avg Week 110;
;260;20170421;149;;Avg Week 111;
;260;20170422;113;;Avg Week 112;
;260;20170423;114;116.1428571;Avg Week 113;
;260;20170424;130;;Avg Week 114;
;260;20170425;99;;Avg Week 115;
;260;20170426;104;;Avg Week 116;
;260;20170427;109;;Avg Week 117;
;260;20170428;117;;Avg Week 118;
;260;20170429;140;;Avg Week 119;
;260;20170430;184;151;Avg Week 120;
;260;20170501;137;;Avg Week 121;
;260;20170502;152;;Avg Week 122;
;260;20170503;152;;Avg Week 123;
;260;20170504;133;;Avg Week 124;
;260;20170505;111;;Avg Week 125;
;260;20170506;188;;Avg Week 126;
;260;20170507;162;177.4285714;Avg Week 127;
;260;20170508;153;;Avg Week 128;
;260;20170509;138;;Avg Week 129;
;260;20170510;159;;Avg Week 130;
;260;20170511;228;;Avg Week 131;
;260;20170512;212;;Avg Week 132;
;260;20170513;190;;Avg Week 133;
;260;20170514;199;215.4285714;Avg Week 134;
;260;20170515;212;;Avg Week 135;
;260;20170516;262;;Avg Week 136;
;260;20170517;284;;Avg Week 137;
;260;20170518;211;;Avg Week 138;
;260;20170519;167;;Avg Week 139;
;260;20170520;173;;Avg Week 140;
;260;20170521;202;242.2857143;Avg Week 141;
;260;20170522;246;;Avg Week 142;
;260;20170523;210;;Avg Week 143;
;260;20170524;223;;Avg Week 144;
;260;20170525;230;;Avg Week 145;
;260;20170526;266;;Avg Week 146;
;260;20170527;319;;Avg Week 147;
;260;20170528;266;246.1428571;Avg Week 148;
;260;20170529;286;;Avg Week 149;
;260;20170530;212;;Avg Week 150;
;260;20170531;222;;Avg Week 151;
;260;20170601;234;;Avg Week 152;
;260;20170602;266;;Avg Week 153;
;260;20170603;237;;Avg Week 154;
;260;20170604;195;205.5714286;Avg Week 155;
;260;20170605;229;;Avg Week 156;
;260;20170606;174;;Avg Week 157;
;260;20170607;174;;Avg Week 158;
;260;20170608;232;;Avg Week 159;
;260;20170609;196;;Avg Week 160;
;260;20170610;239;;Avg Week 161;
;260;20170611;271;225.2857143;Avg Week 162;
;260;20170612;178;;Avg Week 163;
;260;20170613;208;;Avg Week 164;
;260;20170614;244;;Avg Week 165;
;260;20170615;264;;Avg Week 166;
;260;20170616;180;;Avg Week 167;
;260;20170617;232;;Avg Week 168;
;260;20170618;278;267.2857143;Avg Week 169;
;260;20170619;309;;Avg Week 170;
;260;20170620;274;;Avg Week 171;
;260;20170621;291;;Avg Week 172;
;260;20170622;308;;Avg Week 173;
;260;20170623;232;;Avg Week 174;
;260;20170624;179;;Avg Week 175;
;260;20170625;190;209.7142857;Avg Week 176;
;260;20170626;206;;Avg Week 177;
;260;20170627;218;;Avg Week 178;
;260;20170628;219;;Avg Week 179;
;260;20170629;217;;Avg Week 180;
;260;20170630;208;;Avg Week 181;
;260;20170701;210;;Avg Week 182;
;260;20170702;196;238;Avg Week 183;
;260;20170703;220;;Avg Week 184;
;260;20170704;232;;Avg Week 185;
;260;20170705;248;;Avg Week 186;
;260;20170706;265;;Avg Week 187;
;260;20170707;260;;Avg Week 188;
;260;20170708;245;;Avg Week 189;
;260;20170709;232;212.2857143;Avg Week 190;
;260;20170710;259;;Avg Week 191;
;260;20170711;207;;Avg Week 192;
;260;20170712;182;;Avg Week 193;
;260;20170713;205;;Avg Week 194;
;260;20170714;186;;Avg Week 195;
;260;20170715;215;;Avg Week 196;
;260;20170716;221;244.1428571;Avg Week 197;
;260;20170717;231;;Avg Week 198;
;260;20170718;252;;Avg Week 199;
;260;20170719;294;;Avg Week 200;
;260;20170720;242;;Avg Week 201;
;260;20170721;227;;Avg Week 202;
;260;20170722;242;;Avg Week 203;
;260;20170723;191;208.2857143;Avg Week 204;
;260;20170724;202;;Avg Week 205;
;260;20170725;200;;Avg Week 206;
;260;20170726;236;;Avg Week 207;
;260;20170727;214;;Avg Week 208;
;260;20170728;210;;;
;260;20170729;205;;;
;260;20170730;229;221.5714286;;
;260;20170731;228;;;
;260;20170801;227;;;
;260;20170802;220;;;
;260;20170803;225;;;
;260;20170804;218;;;
;260;20170805;204;;;
;260;20170806;217;210.8571429;;
;260;20170807;226;;;
;260;20170808;196;;;
;260;20170809;213;;;
;260;20170810;205;;;
;260;20170811;203;;;
;260;20170812;216;;;
;260;20170813;215;214.7142857;;
;260;20170814;241;;;
;260;20170815;218;;;
;260;20170816;233;;;
;260;20170817;199;;;
;260;20170818;201;;;
;260;20170819;196;;;
;260;20170820;198;228.1428571;;
;260;20170821;208;;;
;260;20170822;235;;;
;260;20170823;250;;;
;260;20170824;222;;;
;260;20170825;234;;;
;260;20170826;250;;;
;260;20170827;247;230.5714286;;
;260;20170828;268;;;
;260;20170829;290;;;
;260;20170830;225;;;
;260;20170831;197;;;
;260;20170901;193;;;
;260;20170902;194;;;
;260;20170903;200;190.8571429;;
;260;20170904;216;;;
;260;20170905;217;;;
;260;20170906;183;;;
;260;20170907;185;;;
;260;20170908;158;;;
;260;20170909;177;;;
;260;20170910;177;163.8571429;;
;260;20170911;174;;;
;260;20170912;183;;;
;260;20170913;176;;;
;260;20170914;144;;;
;260;20170915;164;;;
;260;20170916;129;;;
;260;20170917;172;177.7142857;;
;260;20170918;162;;;
;260;20170919;174;;;
;260;20170920;175;;;
;260;20170921;186;;;
;260;20170922;192;;;
;260;20170923;183;;;
;260;20170924;204;192.7142857;;
;260;20170925;181;;;
;260;20170926;172;;;
;260;20170927;202;;;
;260;20170928;206;;;
;260;20170929;227;;;
;260;20170930;157;;;
;260;20171001;174;160.2857143;;
;260;20171002;179;;;
;260;20171003;164;;;
;260;20171004;152;;;
;260;20171005;160;;;
;260;20171006;150;;;
;260;20171007;143;;;
;260;20171008;147;163.1428571;;
;260;20171009;134;;;
;260;20171010;158;;;
;260;20171011;161;;;
;260;20171012;161;;;
;260;20171013;182;;;
;260;20171014;199;;;
;260;20171015;221;194.7142857;;
;260;20171016;244;;;
;260;20171017;166;;;
;260;20171018;186;;;
;260;20171019;204;;;
;260;20171020;167;;;
;260;20171021;175;;;
;260;20171022;132;156.8571429;;
;260;20171023;152;;;
;260;20171024;171;;;
;260;20171025;171;;;
;260;20171026;175;;;
;260;20171027;144;;;
;260;20171028;153;;;
;260;20171029;152;130.7142857;;
;260;20171030;121;;;
;260;20171031;112;;;
;260;20171101;135;;;
;260;20171102;140;;;
;260;20171103;124;;;
;260;20171104;131;;;
;260;20171105;109;102.1428571;;
;260;20171106;109;;;
;260;20171107;98;;;
;260;20171108;76;;;
;260;20171109;111;;;
;260;20171110;118;;;
;260;20171111;94;;;
;260;20171112;64;96.28571429;;
;260;20171113;103;;;
;260;20171114;92;;;
;260;20171115;102;;;
;260;20171116;107;;;
;260;20171117;110;;;
;260;20171118;96;;;
;260;20171119;99;112;;
;260;20171120;118;;;
;260;20171121;124;;;
;260;20171122;133;;;
;260;20171123;144;;;
;260;20171124;92;;;
;260;20171125;74;;;
;260;20171126;80;53.14285714;;
;260;20171127;91;;;
;260;20171128;78;;;
;260;20171129;40;;;
;260;20171130;46;;;
;260;20171201;31;;;
;260;20171202;6;;;
;260;20171203;66;74.14285714;;
;260;20171204;91;;;
;260;20171205;91;;;
;260;20171206;92;;;
;260;20171207;72;;;
;260;20171208;61;;;
;260;20171209;46;;;
;260;20171210;41;45.85714286;;
;260;20171211;16;;;
;260;20171212;41;;;
;260;20171213;64;;;
;260;20171214;54;;;
;260;20171215;43;;;
;260;20171216;62;;;
;260;20171217;63;84;;
;260;20171218;80;;;
;260;20171219;75;;;
;260;20171220;87;;;
;260;20171221;93;;;
;260;20171222;96;;;
;260;20171223;94;;;
;260;20171224;96;81.28571429;;
;260;20171225;91;;;
;260;20171226;74;;;
;260;20171227;66;;;
;260;20171228;53;;;
;260;20171229;67;;;
;260;20171230;122;;;
;260;20171231;137;98.28571429;;
;260;20180101;88;;;
;260;20180102;91;;;
;260;20180103;112;;;
;260;20180104;107;;;
;260;20180105;87;;;
;260;20180106;66;;;
;260;20180107;31;57.71428571;;
;260;20180108;39;;;
;260;20180109;61;;;
;260;20180110;76;;;
;260;20180111;76;;;
;260;20180112;59;;;
;260;20180113;62;;;
;260;20180114;52;66.85714286;;
;260;20180115;80;;;
;260;20180116;69;;;
;260;20180117;60;;;
;260;20180118;102;;;
;260;20180119;69;;;
;260;20180120;36;;;
;260;20180121;69;94.14285714;;
;260;20180122;84;;;
;260;20180123;112;;;
;260;20180124;144;;;
;260;20180125;92;;;
;260;20180126;86;;;
;260;20180127;72;;;
;260;20180128;108;79.85714286;;
;260;20180129;107;;;
;260;20180130;74;;;
;260;20180131;95;;;
;260;20180201;61;;;
;260;20180202;68;;;
;260;20180203;46;;;
;260;20180204;36;35.42857143;;
;260;20180205;34;;;
;260;20180206;20;;;
;260;20180207;19;;;
;260;20180208;47;;;
;260;20180209;22;;;
;260;20180210;70;;;
;260;20180211;73;73.71428571;;
;260;20180212;63;;;
;260;20180213;63;;;
;260;20180214;55;;;
;260;20180215;99;;;
;260;20180216;87;;;
;260;20180217;76;;;
;260;20180218;73;45.42857143;;
;260;20180219;34;;;
;260;20180220;46;;;
;260;20180221;47;;;
;260;20180222;50;;;
;260;20180223;35;;;
;260;20180224;33;;;
;260;20180225;11;-4.714285714;;
;260;20180226;0;;;
;260;20180227;2;;;
;260;20180228;-46;;;
;260;20180301;-7;;;
;260;20180302;-5;;;
;260;20180303;12;;;
;260;20180304;113;108.5714286;;
;260;20180305;120;;;
;260;20180306;101;;;
;260;20180307;95;;;
;260;20180308;83;;;
;260;20180309;97;;;
;260;20180310;151;;;
;260;20180311;139;93;;
;260;20180312;143;;;
;260;20180313;89;;;
;260;20180314;111;;;
;260;20180315;107;;;
;260;20180316;62;;;
;260;20180317;0;;;
;260;20180318;12;73.57142857;;
;260;20180319;47;;;
;260;20180320;79;;;
;260;20180321;80;;;
;260;20180322;99;;;
;260;20180323;73;;;
;260;20180324;125;;;
;260;20180325;123;111;;
;260;20180326;112;;;
;260;20180327;98;;;
;260;20180328;78;;;
;260;20180329;107;;;
;260;20180330;135;;;
